name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Cowboy Bebop,0,0,0,34,17,1998,2,0,26,0,24,43191,2235,37941,8.77,1
Cowboy Bebop: Tengoku no Tobira,1,1,1,34,44,2001,3,0,1,0,115,13701,836,11998,8.38,1
Trigun,2,2,0,37,34,1998,2,0,26,0,24,20156,1620,25542,8.22,1
Witch Hunter Robin,2,0,0,34,44,2002,3,0,26,0,25,2007,663,11093,7.26,1
Bouken Ou Beet,3,3,0,37,17,2004,3,0,52,0,23,93,35,441,6.96,0
Eyeshield 21,2,4,0,37,34,2005,2,0,145,0,23,2107,310,3163,7.93,1
Hachimitsu to Clover,2,5,0,25,11,2005,2,0,24,0,23,3044,676,14929,8.03,1
Hungry Heart: Wild Striker,2,6,0,37,11,2002,3,0,52,0,23,259,82,514,7.56,1
Initial D Fourth Stage,2,7,0,22,34,2004,2,0,24,0,27,5927,385,2725,8.14,1
Monster,0,2,0,22,44,2004,2,0,74,0,24,15660,1353,40350,8.83,1
Naruto,2,8,0,37,34,2002,4,0,220,0,23,74757,7959,9170,7.97,1
One Piece,2,3,0,37,34,1999,4,1,0,1037,24,28239,2582,16387,8.63,1
Tennis no Ouji-sama,2,9,0,37,34,2001,4,0,178,0,22,1682,1280,3505,7.87,1
Ring ni Kakero 1,3,3,0,37,34,2004,4,0,12,0,25,13,6,154,6.4,0
School Rumble,2,10,0,37,11,2004,4,0,26,0,23,2742,636,8120,7.91,1
Sunabouzu,1,11,0,37,34,2004,4,0,24,0,24,4034,994,10088,7.41,1
Texhnolyze,0,2,0,34,44,2003,2,0,22,0,23,4507,1170,22801,7.76,1
Trinity Blood,1,11,0,34,43,2005,2,0,24,0,24,4563,1341,10371,7.31,1
Yakitate!! Japan,2,0,0,37,11,2004,4,0,69,0,24,1011,165,3410,7.93,1
Zipang,2,12,0,22,34,2004,4,0,26,0,24,524,87,1568,7.49,1
Neon Genesis Evangelion,2,13,0,34,10,1995,4,0,26,0,24,55713,7191,22294,8.34,1
Neon Genesis Evangelion: Death & Rebirth,1,13,1,44,21,1997,1,0,1,0,104,8388,2137,5931,7.45,1
Neon Genesis Evangelion: The End of Evangelion,0,13,1,10,44,1997,3,0,1,0,86,33529,3734,13279,8.54,1
Kenpuu Denki Berserk,0,14,0,22,34,1997,4,0,25,0,25,41849,2201,26625,8.54,1
Koukaku Kidoutai,0,15,1,22,34,1995,4,0,1,0,82,25197,2387,30311,8.28,1
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1,12,2,37,34,1999,1,0,4,0,30,6358,493,9709,8.72,1
Rurouni Kenshin: Meiji Kenkaku Romantan,2,4,0,37,34,1996,1,0,94,0,25,8454,869,16904,8.3,1
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1,4,1,37,44,1997,4,0,1,0,91,1206,259,1624,7.56,1
Akira,0,16,1,22,34,1988,3,0,1,0,124,19035,3472,19999,8.16,1
.hack//Sign,2,17,0,17,0,2002,2,0,26,0,24,1072,741,5893,6.96,0
Aa! Megami-sama!,2,18,2,22,11,1993,1,0,5,0,30,937,308,1976,7.3,1
Aa! Megami-sama! (TV),2,18,0,22,11,2005,1,0,24,0,24,1840,659,3644,7.34,1
Tenshi Kinryouku,0,19,2,15,34,2000,2,0,3,0,29,501,512,1722,6.29,0
Kidou Tenshi Angelic Layer,2,1,0,37,11,2001,2,0,26,0,24,598,204,1111,7.26,1
Ai Yori Aoshi,2,5,0,22,11,2002,2,0,24,0,23,713,326,2172,7.12,1
Appleseed (Movie),1,20,1,37,34,2004,2,0,1,0,105,2339,927,3456,7.08,1
Arc the Lad,1,17,0,34,17,1999,2,0,26,0,22,27,33,492,6.51,0
Avenger,1,17,0,37,17,2003,4,0,13,0,24,118,144,1031,5.88,0
Beck,1,2,0,37,11,2004,4,0,26,0,25,10836,983,18179,8.3,1
Blue Gender,0,18,0,17,44,1999,4,0,26,0,23,586,275,3133,7.04,1
Chobits,2,2,0,22,11,2002,2,0,26,0,24,7218,2060,9446,7.41,1
Chrno Crusade,1,11,0,37,34,2003,4,0,24,0,23,6607,1392,10160,7.64,1
D.N.Angel,2,21,0,15,34,2003,2,0,26,0,23,1384,585,2548,7.17,1
D.C.: Da Capo,2,22,0,44,36,2003,3,0,26,0,24,405,289,2463,6.74,0
DearS,0,23,0,37,11,2004,3,0,12,0,23,1631,1048,2994,6.59,0
Rozen Maiden,2,24,0,22,34,2004,4,0,12,0,24,7418,1919,11270,7.42,1
Rozen Maiden: Traumend,2,24,0,22,34,2005,4,0,12,0,24,4545,931,3319,7.63,1
Azumanga Daioh,2,5,0,11,32,2002,2,0,26,0,24,4029,780,7382,7.97,1
Basilisk: Kouga Ninpou Chou,1,11,0,34,17,2005,2,0,24,0,24,3810,844,11833,7.56,1
Black Cat (TV),2,11,0,37,17,2005,4,0,23,0,24,2488,789,6486,7.35,1
Cluster Edge,2,0,0,34,0,2005,4,0,25,0,24,29,46,631,6.34,0
Full Metal Panic!,1,11,0,34,11,2002,1,0,24,0,24,11583,2076,15032,7.63,1
Full Metal Panic? Fumoffu,2,25,0,34,11,2003,3,0,12,0,24,7864,1229,4775,8.05,1
Full Metal Panic! The Second Raid,1,25,0,34,3,2005,3,0,13,0,24,7480,846,5046,7.94,1
Gakuen Alice,4,26,0,15,11,2004,4,0,26,0,25,495,116,1323,7.64,1
Soukyuu no Fafner: Dead Aggressor,2,21,0,34,44,2004,3,0,25,0,24,495,171,3239,7.28,1
Mahou Shoujo Lyrical Nanoha,2,27,0,34,11,2004,4,0,13,0,25,708,222,2936,7.42,1
Mahou Shoujo Lyrical Nanoha A's,2,27,0,34,11,2005,4,0,13,0,25,602,97,1357,7.98,1
Shuffle!,0,28,0,22,11,2005,3,0,24,0,23,3195,1661,7354,7.06,1
Mobile Suit Gundam,2,0,0,21,3,1979,2,0,43,0,25,1069,257,4823,7.76,1
Mobile Suit Gundam: The 08th MS Team,2,0,2,17,44,1996,1,0,12,0,25,712,150,1517,8.02,1
Mobile Suit Gundam 0080: War in the Pocket,2,0,2,44,21,1989,1,0,6,0,27,530,98,988,7.92,1
